timestamp,user_id,merchant_id,amount,lat,lon,device_id,is_fraud,fraud_type,transaction_id,time_since_prev_txn,txns_last_10min,home_lat,home_lon,avg_txn_amount,dist_from_home_km,amount_vs_avg_ratio,is_known_device,merchant_code,distinct_merchants_1hr,hour_of_day,lgbm_prob,transformer_prob,lgbm_correct,transformer_correct
2026-03-16 13:16:00,U00000,M0715,48.75,81.68336561099939,-120.28227677476822,D_U00000_primary,0,,T0298051,235620.0,1.0,81.6448255,-120.229585,54.42,4.36883582652989,0.8958103638368247,1,715.0,1.0,13,2.857854441211275e-05,0.18858774,1,1
2026-03-16 16:49:00,U00000,M0202,26.63,81.61675860017789,-120.2460594650109,D_UNKNOWN_1436,0,,T0299444,12780.0,1.0,81.6448255,-120.229585,54.42,3.132265915191632,0.4893421536199926,0,202.0,1.0,16,0.0017045885933474317,0.116140656,1,1
2026-03-16 21:51:00,U00000,M0639,49.93,81.53476332632745,-120.32952944534306,D_U00000_primary,0,,T0300574,18120.0,1.0,81.6448255,-120.229585,54.42,12.34581850733242,0.9174935685409775,1,639.0,1.0,21,0.00011157067424533473,0.16202113,1,1
2026-03-17 08:33:00,U00000,M0166,48.73,81.54691672855584,-120.26100928531554,D_U00000_primary,0,,T0300968,38520.0,1.0,81.6448255,-120.229585,54.42,10.898929761033054,0.8954428518926865,1,166.0,1.0,8,0.0016456118640442853,0.08545117,1,1
2026-03-17 13:03:00,U00000,M0722,14.84,81.58009024096572,-120.19745216340726,D_U00000_primary,0,,T0301991,16200.0,1.0,81.6448255,-120.229585,54.42,7.217075695841776,0.2726938625505329,1,722.0,1.0,13,0.0017354907907216682,0.11949972,1,1
2026-03-17 13:09:00,U00000,M0052,43.16,81.64691418286824,-120.24139020054596,D_U00000_primary,0,,T0302025,360.0,2.0,81.6448255,-120.229585,54.42,0.30052412229548975,0.793090775450202,1,52.0,2.0,13,1.7382590592532447e-05,0.5425894,1,0
2026-03-17 15:48:00,U00000,M0155,75.24,81.6547129567769,-120.2710404590317,D_UNKNOWN_1215,0,,T0303044,9540.0,1.0,81.6448255,-120.229585,54.42,1.2872029572640016,1.38257993384785,0,155.0,1.0,15,0.003960497566567314,0.25881216,1,1
2026-03-21 18:06:00,U00000,M0390,1.09,81.63925096064374,-120.1574947335492,D_U00000_primary,0,,T0320159,353880.0,1.0,81.6448255,-120.229585,54.42,1.3198114909928447,0.020029400955531056,1,390.0,1.0,18,1.4557241052010257e-06,0.14077716,1,1
2026-03-24 15:01:00,U00000,M0033,39.98,81.62482639860855,-120.28109211326114,D_U00000_primary,0,,T0331078,248100.0,1.0,81.6448255,-120.229585,54.42,2.374771045436812,0.7346563763322307,1,33.0,1.0,15,0.00012079118371438362,0.084477395,1,1
2026-03-24 16:03:00,U00000,M0457,54.73,81.61860750221592,-120.20264415359094,D_U00000_primary,0,,T0331488,3720.0,1.0,81.6448255,-120.229585,54.42,2.947727816311123,1.0056964351341418,1,457.0,1.0,16,0.00015650287219499227,0.027346838,1,1
2026-03-24 17:19:00,U00000,M0321,36.9,81.67915690959731,-120.23714261433118,D_U00000_primary,0,,T0331945,4560.0,1.0,81.6448255,-120.229585,54.42,3.819423178758925,0.6780595369349504,1,321.0,1.0,17,0.00011646778846654623,0.030500686,1,1
2026-03-25 13:33:00,U00000,M0554,33.2,81.75367813237442,-120.2858177519658,D_U00000_primary,0,,T0334584,72840.0,1.0,81.6448255,-120.229585,54.42,12.137474622747032,0.6100698272693863,1,554.0,1.0,13,0.0012005582473618211,0.061084058,1,1
2026-03-28 11:28:00,U00000,M0405,28.72,81.66010371921784,-120.292275241355,D_U00000_primary,0,,T0346005,251700.0,1.0,81.6448255,-120.229585,54.42,1.9774432874284253,0.5277471517824329,1,405.0,1.0,11,4.1947150857960696e-05,0.07833889,1,1
2026-03-28 12:42:00,U00000,M0323,57.63,81.64793849281646,-120.2702082591841,D_U00000_primary,0,,T0346350,4440.0,1.0,81.6448255,-120.229585,54.42,0.741949092900222,1.0589856670341786,1,323.0,1.0,12,1.4832969969571827e-05,0.050658092,1,1
2026-03-28 19:31:00,U00000,M0050,30.32,81.66765061675838,-120.24211301843091,D_U00000_primary,0,,T0348687,24540.0,1.0,81.6448255,-120.229585,54.42,2.5460747606331475,0.5571481073134876,1,50.0,1.0,19,3.100631813022816e-05,0.31465626,1,1
2026-03-29 08:09:00,U00000,M0135,73.2,81.63456129902518,-120.17365750278724,D_U00000_primary,0,,T0349379,45480.0,1.0,81.6448255,-120.229585,54.42,1.4560964637058447,1.3450937155457552,1,135.0,1.0,8,4.847293731275423e-05,0.20480636,1,1
2026-03-29 12:08:00,U00000,M0743,6.38,81.61864670057966,-120.18567587925148,D_U00000_primary,0,,T0350191,14340.0,1.0,81.6448255,-120.229585,54.42,2.9964207893621504,0.11723631018008085,1,743.0,1.0,12,2.4827876107576706e-05,0.70511013,1,0
2026-03-15 07:50:00,U00001,M0353,31.21,-83.24376986970339,-32.40848395536537,D_U00001_primary,0,,T0292778,71100.0,1.0,-83.286227,-32.344758,28.84,4.793600649804362,1.0821775312066575,1,353.0,1.0,7,0.00011141926392634302,0.17962246,1,1
2026-03-16 08:34:00,U00001,M0397,7.15,-83.2713538973441,-32.337783110192625,D_U00001_primary,0,,T0296944,89040.0,1.0,-83.286227,-32.344758,28.84,1.6563027453705805,0.24791955617198336,1,397.0,1.0,8,0.0003704342666060913,0.1728309,1,1
2026-03-16 14:40:00,U00001,M0612,45.64,-83.37358808334825,-32.34002694776653,D_U00001_primary,0,,T0298547,21960.0,1.0,-83.286227,-32.344758,28.84,9.714301424346782,1.5825242718446602,1,612.0,1.0,14,0.00045948616084594507,0.07232304,1,1
